input_rate(Hz),firing_rate(Hz),neu_type
5520.0,0.0,S
5530.0,0.0,S
5540.0,0.0,S
5550.0,0.0,S
5560.0,0.0,S
5570.0,0.0,S
5580.0,0.0,S
5590.0,0.0,S
5600.0,0.0,S
5610.0,0.0,S
5620.0,0.0,S
5630.0,0.0,S
5640.0,0.0,S
5650.0,0.0,S
5660.0,0.0,S
5670.0,0.0,S
5680.0,0.0,S
5690.0,0.0,S
5700.0,0.0,S
5710.0,0.0,S
5720.0,0.0,S
5730.0,0.0,S
5740.0,0.0,S
5750.0,0.0,S
5760.0,0.0,S
5770.0,0.0,S
5780.0,0.0,S
5790.0,0.0,S
5800.0,0.0,S
5810.0,0.0,S
5820.0,0.0,S
5830.0,0.0,S
5840.0,0.0,S
5850.0,0.0,S
5860.0,0.0,S
5870.0,0.0,S
5880.0,0.0,S
5890.0,0.0,S
5900.0,0.0,S
5910.0,0.0,S
5920.0,0.0,S
5930.0,0.0,S
5940.0,0.0,S
5950.0,0.0,S
5960.0,0.0,S
5970.0,0.0,S
5980.0,0.0,S
5990.0,0.0,S
5000.0,94.0,V
5010.0,92.0,V
5020.0,91.5,V
5030.0,95.5,V
5040.0,92.5,V
5050.0,93.0,V
5060.0,95.0,V
5070.0,92.0,V
5080.0,91.5,V
5090.0,94.0,V
5100.0,96.0,V
5110.0,94.0,V
5120.0,97.0,V
5130.0,94.5,V
5140.0,96.0,V
5150.0,96.0,V
5160.0,94.5,V
5170.0,96.0,V
5180.0,98.0,V
5190.0,95.5,V
5200.0,100.0,V
5210.0,98.0,V
5220.0,96.0,V
5230.0,97.0,V
5240.0,99.0,V
5250.0,97.0,V
5260.0,98.0,V
5270.0,96.0,V
5280.0,96.5,V
5290.0,99.0,V
5300.0,99.5,V
5310.0,98.5,V
5320.0,97.5,V
5330.0,100.5,V
5340.0,100.0,V
5350.0,100.5,V
5360.0,100.0,V
5370.0,99.0,V
5380.0,101.0,V
5390.0,101.0,V
5400.0,103.0,V
5410.0,100.0,V
5420.0,102.0,V
5430.0,100.0,V
5440.0,103.0,V
5450.0,101.5,V
5460.0,99.5,V
5470.0,105.5,V
5480.0,103.0,V
5490.0,101.0,V
5500.0,103.0,V
5510.0,102.5,V
5520.0,104.0,V
5530.0,105.0,V
5540.0,107.0,V
5550.0,105.0,V
5560.0,105.0,V
5570.0,102.5,V
5580.0,106.0,V
5590.0,105.5,V
5600.0,104.0,V
5610.0,107.5,V
5620.0,105.0,V
5630.0,105.5,V
5640.0,107.0,V
5650.0,107.0,V
5660.0,110.0,V
5670.0,107.5,V
5680.0,106.5,V
5690.0,106.5,V
5700.0,107.5,V
5710.0,105.5,V
5720.0,107.5,V
5730.0,110.0,V
5740.0,107.5,V
5750.0,109.5,V
5760.0,109.0,V
5770.0,111.0,V
5780.0,111.0,V
5790.0,106.5,V
5800.0,112.0,V
5810.0,111.5,V
5820.0,108.5,V
5830.0,111.0,V
5840.0,113.5,V
5850.0,113.0,V
5860.0,112.5,V
5870.0,111.5,V
5880.0,110.5,V
5890.0,113.0,V
5900.0,114.5,V
5910.0,113.5,V
5920.0,115.5,V
5930.0,115.0,V
5940.0,114.0,V
5950.0,114.0,V
5960.0,115.0,V
5970.0,114.0,V
5980.0,114.0,V
5990.0,115.5,V
